언론사,링크
경향신문,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=032
국민일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=005
동아일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=020
문화일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=021
서울신문,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=081
세계일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=022
조선일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=023
중앙일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=025
한겨레,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=028
한국일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=469
뉴스1,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=421
뉴시스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=003
연합뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y
연합뉴스TV,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=422
채널A,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=449
한국경제TV,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=215
JTBC,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=437
KBS,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=056
MBC,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=214
MBN,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=057
SBS,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=055
SBS Biz,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=374
TV조선,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=448
YTN,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=052
매일경제,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=009
머니투데이,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=008
비즈니스워치,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=648
서울경제,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=011
아시아경제,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=277
이데일리,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=018
조선비즈,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=366
조세일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=123
파이낸셜뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=014
한국경제,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=015
헤럴드경제,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=016
노컷뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=079
더팩트,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=629
데일리안,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=119
머니S,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=417
미디어오늘,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=006
아이뉴스24,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=031
오마이뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=047
프레시안,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=002
디지털데일리,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=138
디지털타임스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=029
블로터,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=293
전자신문,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=030
ZDNet Korea,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=092
레이디경향,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=145
매경이코노미,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=024
시사IN,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=308
시사저널,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=586
신동아,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=262
월간 산,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=094
이코노미스트,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=243
주간경향,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=033
주간동아,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=037
주간조선,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=053
중앙SUNDAY,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=353
한겨레21,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=036
한경비즈니스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=050
기자협회보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=127
뉴스타파,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=607
동아사이언스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=584
여성신문,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=310
일다,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=007
코리아중앙데일리,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=640
코리아헤럴드,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=044
코메디닷컴,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=296
헬스조선,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=346
강원일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=087
매일신문,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=088
부산일보,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=082
신화사 연합뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=348
AP연합뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=077
EPA연합뉴스,https://www.naver.com/main/list.naver?mode=LPOD&mid=sec&oid=091
언론사 최신기사,https://www.naver.com/main/list.naver?mode=LSD&mid=sec&sid1=001
