,review
0,"삼십 대의 내가 십 대, 이십 대의 나를 만났다"
1,스파이더맨 1 부터 본 사람이면 재미없을 수가 없다
2,전 스파이더맨  두명이 자책했던 일들이 여기서 어느정도 구원받았다는거에  감사드립니다
3,엔드게임을 뛰어넘는 영화가 죽기전에 나올까 생각했었는데.. 2년만에 나왔습니다
4,마블이 준비한 크리스마스 선물
5,21세기 가장 최고의 X소리 : 어벤져스 이후 마블 영화는 안봄.
6,잼민이새끼 개빡치네. 내가 닥스였으면 혈압 터져서 죽었음
7,"닥터옥토버스가 토비에게 ""다컸구나 잘지냈니?"" 는 어린시절 스파이더맨보고자란 사람들에게 하는말 같았고 토비의 ""애쓰고있죠"" 또한 내 상황에 너무 잘들어맞아 울컥했다"
8,개인적으로 그린 고블린이 살렸다
9,원하는거 다 보여줌 ㅋㅋㅋㅋ
10,계속 잔상처럼 남아있는 앤드류가 떨어지는 MJ를 구하고 나서 눈물 맺힌 눈
11,가능하면 여분의 팬티를 챙겨가세요
12,??? : 암세포도 생명이다
13,You are amazing!
14,"수많은 빌런들의 등장으로 스토리가 중구난방이 될까 걱정했지만,그들의 등장은 레전드 장면을 위한 빌드업이었다."
15,이건 스파이더맨 팬들을 향한 눈물나는 선물같은 영화 ㅠㅠ
16,어벤저스에서 선배들과 조별과제를 해본 피터 파커의 하드캐리 명작
17,우리는 스파이더맨’들’을 사랑해
18,스포 당하기 전에 얼른 보세요.개인적으로 이 영화는 엔드게임과 비등합니다.
19,그동안 안죽고 열심히 살길 잘했다
20,엔딩크레딧 올라가는 와중에도 계속 울었네요. mcu 입문 계기가 시빌워 스파이더맨 등장이었을 만큼 예전부터 스파이더맨을 좋아했고 지금도 좋아합니다. 후회없으실 거예요. 스파이더맨을 사랑하는 사람들이라면 울지 않을 수...
21,톰의 스파이더맨이 이렇게 끝나도 완벽했다고 할정도로 스토리라인 넘좋았음 하지만 3편 연장계약ㅋㅋㅋㅋ톰스파 영원하자
22,진짜 이터널스보고 찢겨진 내 영혼.. 이걸로 회복했네요.. 텍마머니..모든 스파이더맨의 정수가 담겨있음
23,모두에게 잊혀지더라도 원래 도와주던 자리로 돌아가는구나..
24,아놔 기대 하고 갔는데.... 기대를 훌쩍 뛰어넘는 ㅠ
25,스파이더맨 : 엔드게임
26,감독 : 여러분이 뭘 좋아하실지 몰라서 그냥 다 준비했습니다.
27,모든 스파이더맨 시리즈를 보아온 사람에게는 선물과도 같은 영화
28,그린고블린이 캐리한 영화다. 샌드맨은 갱생했단 놈이 갑자기 주인공 공격하고 앉았는데 납득이 좀 안갔음
29,여러분의 기대 이상입니다.
30,역시 믿고보는 스파이더맨 시리즈
31,큰 힘엔 큰 책임이 따른다
32,덕후들 심장 터지게 하려고 이갈고 만든 영화..레전드로 남을듯
33,버튼 눌렀으면 이모 죽을 일도 없잖아....중간에 좀 답답함
34,애새1기더맨의 홀로서기 성공
35,그웬 오마주 장면 하나만으로도.
36,앤드류가 mj 구할때 그 장면을 잊지 못하겠다. 아니 근데 톰 연기 왜이렇게 늘었어
37,스파이더맨의 완성 그냥 미쳤음
38,그냥 미쳤어요.. 집가서 스파이더맨 시리즈 다시볼거야 ㅠㅠ
39,초반 스파이더맨의 선택에 갸우뚱하지만 그런 선택이 스파이더맨의 존재이유였다.
40,"어릴 땐 스파이더맨을 보고 내가 성장하였지만, 20대가 되어 내가 스파이더맨의 성장을 보니 감정이 오묘하다"
41,20년 전 친구를 오랜만에 다시 만나서 기뻤고앞으로는 볼 수 없다는 사실에 슬펐다.
42,아 진짜 마블팬인데요..아 나 이제 올해..진짜 행복하게 마무리됐네요..큰 선물받았어요 ㅠㅠ 너무 재밌고 감동주고 다하네 다해 ~~
43,니들이 원하는거 다나온다
44,"스파이더맨 올드팬,뉴팬에게 바치는 헌사같은 영화. 마블 단독 히어로 영화 중에 최고였다."
45,뭐라 말해도 스포겠지... 최고야...
46,누구보다 슬프고 외로운 제목 노웨이홈
47,장점과 단점이 동일한 영화 : 스파이더맨 20년의 모든 것과 멀티버스 등 최신 마블 떡밥이 말 그대로 총출동함 말 그대로 정말 모든게 나오기 때문에 마블과 스파이더맨 팬들에게는 최고의 영화일테지만 그만큼 영화가 매우...
48,"내 10대와 20대, 그리고 지금 30대."
49,2002년 대구 만경관에서 스파이더맨을 처음 봤던 12살 꼬마가 20년이 지난 후 운영난으로 롯데에 매각 된 롯데시네마 만경관점에서 이 영화를 보았다. 이 영화는 '어떻게 지내고 있니?'라는 질문에 마...
50,진짜 2002년부터 2021년 까지 나의 유년기를 끝내는 문을 열고 나온 느낌입니다.
51,샘레이미의 스파이더맨부터 쭉 봐온 팬들에게 바치는 위대한 헌사.  스파이더맨으로 나온 작품들을 정말 열심히 공부해서 만족시키려고 내놓은 수작. 마블에 대한 감사의 의미로 10점 줘야만 하겠네요.
52,히어로의 신념을 지키는 대가가 너무 가혹하다.. 죽는 거보다 더 해....
53,이제야 돌아왔구나라는 느낌이 들면서도 분위기 깨지는 유치해지는 뇌절때문에 좀 아쉽 감정선을 억지로 만드는 느낌
54,꼬맹이시절 상상만했던 만남이 이루어진것만으로도 별점 10점
55,"MCU 등에 업혔던 아이, 모든걸 내려놓고 영웅이 되다."
56,고블린 아저씨 연기 잘하더라.
57,엔겜 이후 최고로 재밌게 본 마블 영화. 마블의 스파이더맨에 그동안 실망했었는데 이번편은 진짜 역대급 재미를 갖춤
58,정말 위아래로 울엇다.
59,그리웠던 이들에게 받은 크리스마스 종합선물세트
60,첫번째 포탈에서 앤드류 스파이더맨이 나올 때랑 두번째 포탈에서 토비 스파이더맨이 나올 때의 소름은 잊을 수가 없다..
61,하... 너무 짠하다 진짜..꼭 이렇게까지 해야했나..늘 스파이더맨에겐 잔혹해
62,"영화는 재미 있게 보았으나, 속터지는 장면이 다수."
63,역시 빌런도 경력직
64,애가 말 드럽게 안들어서 닥터 스트렌져가 개고생하는 이야기 ㅎㅎ
65,넌 너무 어매이징해!!!
66,존재하는 모든 스파이더맨에 대한 애정으로 중무장한 최고의 피날레
67,사실상 이 영화는 스파이더맨 8편이다. 2002년부터 2021년 까지의 스파이더맨 유니버스를 하나로 묶어준 것 만으로도 팬들을 위한 최고의 선물이었다.
68,최근 PC묻은 이상한 마블영화만 보다 제대로 된 마블영화를 보니 너무 재미있어서 눈물이 나올 정도였음.
69,지 팔자 지가 꼰다
70,"미친영화,, 유년시절과 현재를 관통한다."
71,어린 거미는 이번 영화로 끝이 났다.
72,화장실을 갈 필요가 없습니다.줄줄 흐르기 때문이죠^^
73,"3부작의 웅장한 마무리이자, 새로운 스파이더맨 시리즈의 훌륭한 시작점"
74,피터야 이제 책임을 질 줄 아는 어른이 됐구나
75,단연컨데 제 인생 영화입니다...
76,개봉하자마자 영화본 사람이 승리자
77,"1점 까지는 아니지만 평점이 너무 높아서.. 주인공, 스토리 너무 고구마같이 답답해서 미치는줄.."
78,극장에서 관객들이 탄성 지르는거 진짜 오랫만에 봄.나도 덩달아 우와~~~ 너무 재밌게 봤네요.
79,스파이더맨 팬이면 정말 재밌게볼수있어요
80,팬들에게는 최고의 선물이지만 일반인은 갸우뚱
81,20년간 스파이더맨 영화를 사랑했던 모든 팬들에게 주는 크리스마스 선물
82,ENTP로써 피터의 행동 킹받음
83,스파이더맨에 스파이더맨 나옴.
84,MCU 어벤져스 스파이더맨이 스파이더맨이 되었다
85,내가 봤던 스파이더맨 영화중 가장 감동이였다.
86,31살 먹고도 스파이더맨을 보면 가슴이 웅장해집니다. 마블 최고의 영웅
87,항상 꿈꿔오던 순간을 마주하고 말았다....
88,영화를 다 이해하기위해서 봐야할 작품이 너무 많음.  영화를 비롯해 드라마 애니메이션까지.그럼에도 내 어린시절을 다시 돌려받은것같아 너무 행복했음
89,와~  토비형 앤드류형 결국 나와줬구나! 특히 토비형 너무 보고싶었어! 눈물난다~ 하나도 안늙었구나 ㅠㅠ 정말 고마워 나와줘서 영화 보면서 감탄사 연발이었다  내인생의 스파이더맨 토비형님!
90,핵고구마짓도 마블은 다 이유가 있었다
91,제발 아무것도 보지 말고 최대한 빨리 보러가세요
92,어벤져스 엔드게임을 위해 모든 마블 MCU 시리즈가 존재한다면20년 전부터 개봉한 모든 스파이더맨 시리즈는 이 한 편을 위한 것이었다 해도 과언이 아닐 듯수다쟁이 다정한 이웃 스파이더맨.개인적으로 역사에 남을 작품이...
93,이제야 가난한 흙수저 스파이더맨의 시작.
94,20년 서사를 2시간에 느끼게해줌
95,살아오며 스파이더맨 영화를 모두 봐온 사람이라면 감동할 수밖에 없다.
96,이제 이 영화냐 엔드 게임이냐 견주는 사람이 많을 거 같다.
97,그래...스파이더맨의 상징은 거미줄이 아니라 가난과 고독이었지...
98,마블을 사랑한 사람들에게 어벤져스가있었다면스파이더맨을 사랑한 사람들에겐 어벤져스 그 이상급의 영화인듯 합니다... 히어로 영화보면서 눈물흘릴줄은 상상도 못했네요.
99,왜항상 피터파커는 마음이 아파야하나...행복해라 피터야 ㅜㅜ
100,톰스파의 완벽하고 완전한 성장.그리고 스파이더맨 팬들을 위한 최고의 선물
101,마블이 돌아왔구나..!
102,스파이더맨 오지랍 때문에 닥터스트레인지 개고생하는 영화
103,개인적으로는 조금 유치했다
104,몰라 그냥 존나 재밌어 진짜 재미 없다고 하는 분들 진짜 죄송한데 이해가 안 가요.스파이더맨 지금까지 나온 7부작 다 안 보신 분들 인 것 같음..; 이정도 스토리 라인이면되게 잘 짠 것 같은데 진짜 너무 재밌음 ㅠ...
